ts,invest,money,buy,sell
1450051200,10000.000,12571.978,0.000,0.000
1450137600,10000.000,12621.319,0.000,0.000
1450224000,10000.000,12562.110,0.000,0.000
1450310400,10000.000,12779.208,0.000,0.000
1450396800,10000.000,12877.890,0.000,0.000
1450656000,10000.000,13321.955,0.000,13321.955
1450742400,10000.000,13321.955,0.000,0.000
1450828800,10000.000,13321.955,0.000,0.000
1450915200,10000.000,13321.955,0.000,0.000
1451001600,10000.000,13321.955,0.000,0.000
1451260800,10000.000,13321.955,0.000,0.000
1451347200,10000.000,13321.955,0.000,0.000
1451433600,10000.000,13321.955,0.000,0.000
1451520000,10000.000,13321.955,0.000,0.000
1451865600,10000.000,13321.955,0.000,0.000
1451952000,10000.000,13321.955,0.000,0.000
1452038400,10000.000,13321.955,0.000,0.000
1452124800,10000.000,13321.955,0.000,0.000
1452211200,10000.000,13321.955,0.000,0.000
1452470400,10000.000,13321.955,0.000,0.000
1452556800,10000.000,13321.955,0.000,0.000
1452643200,10000.000,13321.955,0.000,0.000
1452729600,10000.000,13321.955,0.000,0.000
1452816000,10000.000,13321.955,0.000,0.000
1453075200,10000.000,13321.955,0.000,0.000
1453161600,10000.000,13321.955,0.000,0.000
1453248000,10000.000,13321.955,13321.955,0.000
1453334400,10000.000,12927.153,0.000,0.000
1453420800,10000.000,13055.259,0.000,0.000
1453680000,10000.000,13158.910,0.000,0.000
1453766400,10000.000,12589.416,0.000,0.000
1453852800,10000.000,12484.601,0.000,0.000
1453939200,10000.000,12216.741,0.000,0.000
1454025600,10000.000,12554.478,0.000,0.000
1454284800,10000.000,12566.124,0.000,0.000
1454371200,10000.000,12845.630,0.000,0.000
1454457600,10000.000,12845.630,0.000,0.000
1454544000,10000.000,12973.737,0.000,0.000
1454630400,10000.000,12880.568,0.000,0.000
1455494400,10000.000,12764.107,0.000,0.000
1455580800,10000.000,13078.552,0.000,0.000
1455667200,10000.000,13135.617,0.000,0.000
1455753600,10000.000,13066.906,0.000,0.000
1455840000,10000.000,13055.259,0.000,0.000
1456099200,10000.000,13321.955,0.000,0.000
1456185600,10000.000,13311.473,0.000,0.000
1456272000,10000.000,13311.473,0.000,0.000
1456358400,10000.000,12531.186,0.000,0.000
1456444800,10000.000,12624.354,0.000,0.000
1456704000,10000.000,12193.449,0.000,0.000
1456790400,10000.000,12438.017,0.000,0.000
1456876800,10000.000,12962.091,0.000,0.000
1456963200,10000.000,13008.675,0.000,0.000
1457049600,10000.000,12985.383,0.000,0.000
1457308800,10000.000,13090.198,0.000,0.000
1457395200,10000.000,13078.552,0.000,0.000
1457481600,10000.000,12938.799,0.000,0.000
1457568000,10000.000,12892.214,0.000,0.000
1457654400,10000.000,12868.922,0.000,0.000
1457913600,10000.000,13031.967,0.000,0.000
1458000000,10000.000,13031.967,0.000,0.000
1458086400,10000.000,12903.860,0.000,0.000
1458172800,10000.000,13158.910,0.000,0.000
1458259200,10000.000,13392.996,0.000,0.000
1458518400,10000.000,13579.333,0.000,0.000
1458604800,10000.000,13579.333,0.000,0.000
1458691200,10000.000,13590.979,0.000,0.000
1458777600,10000.000,13567.687,0.000,0.000
1458864000,10000.000,13649.210,0.000,0.000
1459123200,10000.000,13754.024,0.000,0.000
1459209600,10000.000,13556.041,0.000,0.000
1459296000,10000.000,13835.547,0.000,0.000
1459382400,10000.000,13905.424,0.000,0.000
1459468800,10000.000,13823.901,0.000,0.000
1459814400,10000.000,14033.530,0.000,0.000
1459900800,10000.000,14196.576,0.000,0.000
1459987200,10000.000,13986.946,0.000,0.000
1460073600,10000.000,13905.424,0.000,0.000
1460332800,10000.000,14080.115,0.000,0.000
1460419200,10000.000,14033.530,0.000,0.000
1460505600,10000.000,14091.761,0.000,0.000
1460592000,10000.000,14208.222,0.000,0.000
1460678400,10000.000,14149.991,0.000,0.000
1460937600,10000.000,14045.177,0.000,0.000
1461024000,10000.000,14103.407,0.000,0.000
1461110400,10000.000,13695.794,0.000,0.000
1461196800,10000.000,13660.856,0.000,0.000
1461283200,10000.000,13905.424,0.000,0.000
1461542400,10000.000,13858.839,0.000,0.000
1461628800,10000.000,13986.946,0.000,0.000
1461715200,10000.000,14045.177,0.000,0.000
1461801600,10000.000,14021.884,0.000,0.000
1461888000,10000.000,14126.699,0.000,0.000
1462233600,10000.000,14661.254,0.000,14661.254
1462320000,10000.000,14661.254,0.000,0.000
1462406400,10000.000,14661.254,0.000,0.000
1462492800,10000.000,14661.254,0.000,0.000
1462752000,10000.000,14661.254,0.000,0.000
1462838400,10000.000,14661.254,0.000,0.000
1462924800,10000.000,14661.254,0.000,0.000
1463011200,10000.000,14661.254,0.000,0.000
1463097600,10000.000,14661.254,0.000,0.000
1463356800,10000.000,14661.254,0.000,0.000
1463443200,10000.000,14661.254,0.000,0.000
1463529600,10000.000,14661.254,0.000,0.000
1463616000,10000.000,14661.254,0.000,0.000
1463702400,10000.000,14661.254,0.000,0.000
1463961600,10000.000,14661.254,0.000,0.000
1464048000,10000.000,14661.254,0.000,0.000
1464134400,10000.000,14661.254,0.000,0.000
1464220800,10000.000,14661.254,0.000,0.000
1464307200,10000.000,14661.254,0.000,0.000
1464566400,10000.000,14661.254,0.000,0.000
1464652800,10000.000,14661.254,0.000,0.000
1464739200,10000.000,14661.254,0.000,0.000
1464825600,10000.000,14661.254,0.000,0.000
1464912000,10000.000,14661.254,0.000,0.000
1465171200,10000.000,14661.254,0.000,0.000
1465257600,10000.000,14661.254,0.000,0.000
1465344000,10000.000,14661.254,0.000,0.000
1465776000,10000.000,14661.254,0.000,0.000
1465862400,10000.000,14661.254,0.000,0.000
1465948800,10000.000,14661.254,0.000,0.000
1466035200,10000.000,14661.254,0.000,0.000
1466121600,10000.000,14661.254,0.000,0.000
1466380800,10000.000,14661.254,0.000,0.000
1466467200,10000.000,14661.254,0.000,0.000
1466553600,10000.000,14661.254,0.000,0.000
1466640000,10000.000,14661.254,0.000,0.000
1466726400,10000.000,14661.254,0.000,0.000
1466985600,10000.000,14661.254,0.000,0.000
1467072000,10000.000,14661.254,0.000,0.000
1467158400,10000.000,14661.254,0.000,0.000
1467244800,10000.000,14661.254,0.000,0.000
1467331200,10000.000,14661.254,0.000,0.000
1467590400,10000.000,14661.254,0.000,0.000
1467676800,10000.000,14661.254,0.000,0.000
1467763200,10000.000,14661.254,0.000,0.000
1467849600,10000.000,14661.254,0.000,0.000
1467936000,10000.000,14661.254,0.000,0.000
1468195200,10000.000,14661.254,0.000,0.000
1468281600,10000.000,14661.254,0.000,0.000
1468368000,10000.000,14661.254,0.000,0.000
1468454400,10000.000,14661.254,0.000,0.000
1468540800,10000.000,14661.254,0.000,0.000
1468800000,10000.000,14661.254,0.000,0.000
1468886400,10000.000,14661.254,14661.254,0.000
1468972800,10000.000,14630.752,0.000,0.000
1469059200,10000.000,14725.415,0.000,0.000
1469145600,10000.000,14451.943,0.000,0.000
1469404800,10000.000,14462.461,0.000,0.000
1469491200,10000.000,14872.669,0.000,0.000
1469577600,10000.000,14588.679,0.000,0.000
1469664000,10000.000,14830.597,0.000,0.000
1469750400,10000.000,14809.560,0.000,0.000
1470009600,10000.000,14535.036,0.000,0.000
1470096000,10000.000,14525.570,0.000,0.000
1470182400,10000.000,14567.643,0.000,0.000
1470268800,10000.000,14556.073,0.000,0.000
1470355200,10000.000,14483.498,0.000,0.000
1470614400,10000.000,14598.145,0.000,0.000
1470700800,10000.000,14788.524,0.000,0.000
1470787200,10000.000,14693.861,0.000,0.000
1470873600,10000.000,14682.291,0.000,0.000
1470960000,10000.000,14756.970,0.000,0.000
1471219200,10000.000,15061.996,0.000,0.000
1471305600,10000.000,15061.996,0.000,0.000
1471392000,10000.000,15114.587,0.000,0.000
1471478400,10000.000,14977.851,0.000,0.000
1471564800,10000.000,14904.224,0.000,0.000
1471824000,10000.000,14862.151,0.000,0.000
1471910400,10000.000,14851.633,0.000,0.000
1471996800,10000.000,14756.970,0.000,0.000
1472083200,10000.000,14640.218,0.000,0.000
1472169600,10000.000,14609.715,0.000,0.000
1472428800,10000.000,14525.570,0.000,0.000
1472515200,10000.000,14535.036,0.000,0.000
1472601600,10000.000,14577.109,0.000,0.000
1472688000,10000.000,14504.534,0.000,0.000
1472774400,10000.000,14420.389,0.000,0.000
1473033600,10000.000,14471.928,0.000,0.000
1473120000,10000.000,14598.145,0.000,0.000
1473206400,10000.000,14514.000,0.000,0.000
1473292800,10000.000,14483.498,0.000,0.000
1473379200,10000.000,14378.316,0.000,0.000
1473638400,10000.000,14062.771,0.000,0.000
1473724800,10000.000,14115.362,0.000,0.000
1473811200,10000.000,13968.108,0.000,0.000
1474243200,10000.000,14136.398,0.000,0.000
1474329600,10000.000,14115.362,0.000,0.000
1474416000,10000.000,14125.880,0.000,0.000
1474502400,10000.000,14241.580,0.000,0.000
1474588800,10000.000,14210.026,0.000,0.000
1474848000,10000.000,14010.181,0.000,0.000
1474934400,10000.000,14104.844,0.000,0.000
1475020800,10000.000,14115.362,0.000,0.000
1475107200,10000.000,14178.471,0.000,0.000
1475193600,10000.000,14357.280,0.000,0.000
1476057600,10000.000,14483.498,0.000,0.000
1476144000,10000.000,14483.498,0.000,0.000
1476230400,10000.000,14462.461,0.000,0.000
1476316800,10000.000,14399.352,0.000,0.000
1476403200,10000.000,14388.834,0.000,0.000
