ts,invest,money,buy,sell
1393372800,10000.000,10756.227,0.000,0.000
1393459200,10000.000,10756.227,0.000,0.000
1393545600,10000.000,10756.227,0.000,0.000
1393804800,10000.000,10756.227,0.000,0.000
1393891200,10000.000,10756.227,10756.227,0.000
1393977600,10000.000,10646.841,0.000,0.000
1394064000,10000.000,10598.226,0.000,0.000
1394150400,10000.000,10695.457,0.000,0.000
1394409600,10000.000,10452.378,0.000,0.000
1394496000,10000.000,10513.148,0.000,0.000
1394582400,10000.000,10525.302,0.000,0.000
1394668800,10000.000,10646.841,0.000,0.000
1394755200,10000.000,10561.764,0.000,0.000
1395014400,10000.000,10683.303,0.000,0.000
1395100800,10000.000,10719.765,0.000,0.000
1395187200,10000.000,10513.148,0.000,0.000
1395273600,10000.000,10197.146,0.000,0.000
1395360000,10000.000,10367.301,0.000,0.000
1395619200,10000.000,10330.839,0.000,0.000
1395705600,10000.000,10379.455,0.000,0.000
1395792000,10000.000,10428.071,0.000,0.000
1395878400,10000.000,10282.223,0.000,0.000
1395964800,10000.000,10245.762,0.000,0.000
1396224000,10000.000,10294.377,0.000,0.000
1396310400,10000.000,10428.071,0.000,0.000
1396396800,10000.000,10403.763,0.000,0.000
1396483200,10000.000,10355.147,0.000,0.000
1396569600,10000.000,10476.686,0.000,10476.686
1396915200,10000.000,10476.686,0.000,0.000
1397001600,10000.000,10476.686,0.000,0.000
1397088000,10000.000,10476.686,0.000,0.000
1397174400,10000.000,10476.686,0.000,0.000
1397433600,10000.000,10476.686,0.000,0.000
1397520000,10000.000,10476.686,0.000,0.000
1397606400,10000.000,10476.686,0.000,0.000
1397692800,10000.000,10476.686,0.000,0.000
1397779200,10000.000,10476.686,0.000,0.000
1398038400,10000.000,10476.686,0.000,0.000
1398124800,10000.000,10476.686,0.000,0.000
1398211200,10000.000,10476.686,0.000,0.000
1398297600,10000.000,10476.686,0.000,0.000
1398384000,10000.000,10476.686,0.000,0.000
1398643200,10000.000,10476.686,0.000,0.000
1398729600,10000.000,10476.686,0.000,0.000
1398816000,10000.000,10476.686,0.000,0.000
1399248000,10000.000,10476.686,0.000,0.000
1399334400,10000.000,10476.686,0.000,0.000
1399420800,10000.000,10476.686,0.000,0.000
1399507200,10000.000,10476.686,0.000,0.000
1399593600,10000.000,10476.686,0.000,0.000
1399852800,10000.000,10476.686,0.000,0.000
1399939200,10000.000,10476.686,0.000,0.000
1400025600,10000.000,10476.686,10476.686,0.000
1400112000,10000.000,10366.405,0.000,0.000
1400198400,10000.000,10305.138,0.000,0.000
1400457600,10000.000,10182.604,0.000,0.000
1400544000,10000.000,10182.604,0.000,0.000
1400630400,10000.000,10268.378,0.000,0.000
1400716800,10000.000,10280.631,0.000,0.000
1400803200,10000.000,10354.152,0.000,0.000
1401062400,10000.000,10464.433,0.000,0.000
1401148800,10000.000,10439.926,0.000,10439.926
1401235200,10000.000,10439.926,0.000,0.000
1401321600,10000.000,10439.926,0.000,0.000
1401408000,10000.000,10439.926,0.000,0.000
1401753600,10000.000,10439.926,0.000,0.000
1401840000,10000.000,10439.926,10439.926,0.000
1401926400,10000.000,10563.038,0.000,10563.038
1402012800,10000.000,10563.038,0.000,0.000
1402272000,10000.000,10563.038,10563.038,0.000
1402358400,10000.000,10687.456,0.000,0.000
1402444800,10000.000,10724.781,0.000,0.000
1402531200,10000.000,10737.223,0.000,0.000
1402617600,10000.000,10861.640,0.000,0.000
1402876800,10000.000,10898.965,0.000,0.000
1402963200,10000.000,10749.664,0.000,0.000
1403049600,10000.000,10699.898,0.000,0.000
1403136000,10000.000,10563.038,0.000,0.000
1403222400,10000.000,10600.364,0.000,0.000
1403481600,10000.000,10724.781,0.000,0.000
1403568000,10000.000,10836.757,0.000,0.000
1403654400,10000.000,10786.990,0.000,0.000
1403740800,10000.000,10923.849,0.000,0.000
